Zip,Closure Year
30428,2014
40311,2014
1247,2014
64776,2014
68781,2014
27810,2014
45764,2014
18452,2014
38382,2014
38343,2014
38012,2014
75426,2014
76692,2014
75457,2014
75644,2014
75563,2014
36323,2013
36442,2013
93212,2013
39813,2013
31537,2013
31825,2013
4543,2013
39038,2013
28605,2013
37331,2013
75160,2013
75935,2013
24277,2013
76426,2013
35045,2012
37030,2012
85132,2012
30643,2012
49721,2012
43420,2012
74402,2012
17921,2012
29003,2012
36784,2011
36274,2011
86401,2011
67530,2011
54612,2011
93631,2010
55063,2010
57450,2010
35055,2009
71958,2009
94599,2009
41537,2009
70570,2009
8037,2009
12010,2009
13069,2009
28017,2009
58652,2009
95947,2008
32052,2008
31055,2008
75951,2008
99006,2008
26261,2008
85366,2007
95370,2007
47542,2007
56142,2007
89832,2007
28681,2007
74058,2007
57638,2007
24701,2007
93610,2006
93620,2006
67024,2006
49670,2006
28339,2006
28714,2006
16866,2006
25601,2006
72112,2005
32456,2005
32351,2005
62821,2005
56381,2005
38701,2005
13838,2005
78945,2005
76444,2005
